Registry,Assignment,Organization Name
MA-L,B827EB,"Raspberry Pi Foundation"
MA-L,DCA632,"Raspberry Pi Trading Ltd"
MA-L,E45F01,"Raspberry Pi Trading Ltd"
MA-L,285FCB,"Espressif Inc."
MA-L,2CF432,"Espressif Inc."
MA-L,3C71BF,"Espressif Inc."
MA-L,401233,"Espressif Inc."
MA-L,441793,"Espressif Inc."
MA-L,4CEBD6,"Espressif Inc."
MA-L,509517,"Espressif Inc."
MA-L,54B450,"Espressif Inc."
MA-L,5C87B4,"Espressif Inc."
MA-L,60019F,"Espressif Inc."
MA-L,7CDFA1,"Espressif Inc."
MA-L,84CCA8,"Espressif Inc."
MA-L,8CAAB5,"Espressif Inc."
MA-L,943501,"Espressif Inc."
MA-L,9884E3,"Espressif Inc."
MA-L,A020A6,"Espressif Inc."
MA-L,A4CF12,"Espressif Inc."
MA-L,BCEDF2,"Espressif Inc."
MA-L,C45BBE,"Espressif Inc."
MA-L,D8F15B,"Espressif Inc."
MA-L,E868E7,"Espressif Inc."
MA-L,ECFABC,"Espressif Inc."
MA-L,F0F5BD,"Espressif Inc."
MA-L,001763,"Sonos, Inc."
MA-L,00B444,"Sonos, Inc."
MA-L,34170F,"Sonos, Inc."
MA-L,48A6B8,"Sonos, Inc."
MA-L,5CAAFB,"Sonos, Inc."
MA-L,78628E,"Sonos, Inc."
MA-L,94901D,"Sonos, Inc."
MA-L,B8E937,"Sonos, Inc."
MA-L,D8493A,"Sonos, Inc."
MA-L,00D0A7,"Belkin International"
MA-L,08863B,"Belkin International"
MA-L,3476C5,"Belkin International"
MA-L,94103E,"Belkin International"
MA-L,B4750E,"Belkin International"
MA-L,C05627,"Belkin International"
MA-L,EC1A59,"Belkin International"
MA-L,20F85E,"D-Link Corporation"
MA-L,6045CB,"D-Link Corporation"
MA-L,781DBA,"D-Link Corporation"
MA-L,84C9B2,"D-Link Corporation"
MA-L,ACF1DF,"D-Link Corporation"
MA-L,B8A386,"D-Link Corporation"
MA-L,C8D3A3,"D-Link Corporation"
MA-L,001CF0,"D-Link Corporation"
MA-L,001E58,"D-Link Corporation"
MA-L,002191,"D-Link Corporation"
MA-L,00224B,"D-Link Corporation"
MA-L,3C4A92,"Hikvision Digital Technology"
MA-L,BC6E76,"Hikvision Digital Technology"
MA-L,E8E197,"Hikvision Digital Technology"
MA-L,442BF4,"Dahua Technology"
MA-L,705572,"Dahua Technology"
MA-L,9001B4,"Dahua Technology"
MA-L,B46C1B,"Dahua Technology"
MA-L,4C11AE,"Xiaomi Communications"
MA-L,64B473,"Xiaomi Communications"
MA-L,A0868B,"Xiaomi Communications"
MA-L,CC2D83,"Xiaomi Communications"
MA-L,F0B429,"Xiaomi Communications"
MA-L,A08834,"Xiaomi Communications"
MA-L,8C5877,"LG Electronics"
MA-L,BCA92A,"LG Electronics"
MA-L,CC2D21,"LG Electronics"
MA-L,F008F1,"LG Electronics"
MA-L,0019D2,"LG Electronics"
MA-L,0026E2,"LG Electronics"
MA-L,003214,"LG Electronics"
MA-L,0050B6,"LG Electronics"
MA-L,1418C3,"LG Electronics"
MA-L,4C4E03,"LG Electronics"
MA-L,001225,"Sony Corporation"
MA-L,001A80,"Sony Corporation"
MA-L,0023F0,"Sony Corporation"
MA-L,002618,"Sony Corporation"
MA-L,0035BE,"Sony Corporation"
MA-L,001A8A,"Sony Corporation"
MA-L,1C9847,"Sony Corporation"
MA-L,2CB049,"Sony Corporation"
MA-L,301B97,"Sony Corporation"
MA-L,380203,"Sony Corporation"
MA-L,4089B0,"Sony Corporation"
MA-L,88C9E8,"Sony Corporation"
MA-L,C45628,"Sony Corporation"
MA-L,F45DA6,"Sony Corporation"
